ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
seq0,13.21,0.00,26.17,5.59,24.74,0.00,0.00,11.44,13.82,8.19,20.17,10.00,0.00,12.47,31.14,31.14,18.57,27.71,33.03,21.14
seq1,16.15,0.00,26.17,7.50,28.38,31.14,0.00,14.38,12.97,8.84,17.03,9.28,0.00,9.97,0.00,23.43,23.43,27.71,24.74,17.43
seq2,12.97,0.00,21.14,4.54,20.17,0.00,0.00,11.21,14.30,9.66,24.74,11.79,0.00,14.58,24.74,0.00,16.74,22.23,28.38,26.17
seq3,0.00,6.45,0.00,17.36,0.00,8.91,17.69,22.03,7.50,11.94,0.00,18.14,8.48,34.03,13.66,0.00,12.40,26.56,0.00,15.37
seq4,28.03,22.83,12.21,16.03,10.41,0.00,17.77,0.00,10.00,18.83,20.03,0.00,10.68,0.00,6.30,24.43,9.28,10.89,0.00,0.00
seq5,6.74,11.93,12.11,16.21,0.00,22.83,0.00,16.83,9.45,28.03,0.00,17.93,20.41,22.83,12.62,0.00,10.48,7.33,0.00,14.03
seq6,12.07,0.00,20.03,16.03,14.00,21.37,16.03,0.00,14.62,5.50,0.00,24.43,12.62,0.00,23.45,8.67,10.25,13.79,0.00,21.37
seq7,0.00,0.00,0.00,5.10,11.62,0.00,0.00,0.00,4.61,12.69,28.11,29.68,0.00,18.00,11.14,28.11,35.03,35.03,18.03,0.00
seq8,26.65,0.00,15.25,12.14,11.62,17.19,0.00,0.00,17.69,12.69,28.11,20.03,29.68,11.58,9.94,14.92,35.03,35.03,17.54,0.00
seq9,0.00,0.00,11.91,11.82,17.94,20.74,0.00,10.78,9.78,18.85,16.51,13.76,0.00,5.96,0.00,0.00,24.74,19.31,31.14,16.03
seq10,0.00,0.00,10.74,9.39,16.57,20.91,0.00,13.81,10.78,16.74,17.43,12.79,0.00,6.90,0.00,0.00,19.85,23.43,24.74,12.50
seq11,0.00,0.00,12.74,9.44,18.14,20.23,28.69,18.48,13.37,11.97,23.14,13.09,0.00,10.36,0.00,0.00,8.32,34.03,18.80,11.09
seq12,0.00,0.00,14.12,11.09,22.23,16.03,0.00,8.91,9.48,18.26,17.94,16.03,0.00,6.07,0.00,0.00,33.03,16.74,28.38,21.14
seq13,7.76,0.00,0.00,0.00,0.00,5.88,13.25,9.05,0.00,18.05,9.25,0.00,0.00,10.74,0.00,0.00,4.50,8.95,0.00,12.05
seq14,11.86,9.75,0.00,0.00,0.00,9.62,0.00,0.00,10.59,0.00,11.14,10.25,13.86,0.00,18.23,4.94,7.33,0.00,0.00,10.23
seq15,5.83,0.00,0.00,8.53,13.25,11.17,0.00,9.25,15.26,6.95,0.00,10.25,0.00,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq16,5.83,0.00,0.00,8.53,13.25,11.06,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,11.05,0.00,6.00,0.00
seq17,5.83,0.00,0.00,8.53,13.25,11.17,0.00,9.25,15.26,12.05,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq18,5.83,0.00,0.00,8.53,13.25,9.94,0.00,9.25,15.26,6.95,0.00,0.00,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq19,5.83,0.00,0.00,8.53,13.25,6.61,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,0.00,0.00,7.05,0.00,6.00,0.00
seq20,5.83,0.00,0.00,8.53,13.25,5.50,0.00,0.00,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq21,5.83,0.00,0.00,8.53,13.25,5.50,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,13.25,0.00,6.00,0.00
seq22,5.83,0.00,0.00,8.53,13.25,5.94,0.00,9.25,15.26,12.05,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq23,5.83,0.00,0.00,8.53,13.25,8.61,0.00,9.25,14.65,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq24,6.11,0.00,0.00,8.53,13.25,9.94,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq25,5.83,0.00,0.00,8.53,0.00,6.61,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq26,8.63,0.00,0.00,8.53,13.25,5.28,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq27,5.83,0.00,0.00,18.05,13.25,5.94,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq28,10.21,0.00,0.00,8.53,13.25,7.50,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq29,7.05,10.25,0.00,18.05,10.25,13.25,0.00,13.58,8.95,11.05,0.00,0.00,0.00,9.65,7.65,0.00,6.42,0.00,13.68,0.00
seq30,5.83,0.00,0.00,9.05,13.25,11.39,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq31,3.18,0.00,0.00,0.00,0.00,9.35,20.05,9.62,0.00,8.15,16.59,0.00,0.00,0.00,0.00,10.05,6.05,9.81,0.00,0.00
seq32,5.28,0.00,0.00,7.17,6.95,16.25,0.00,18.05,7.05,6.95,7.05,0.00,0.00,16.25,0.00,0.00,10.25,12.05,0.00,9.65
seq33,0.00,0.00,0.00,0.00,0.00,4.00,0.00,6.59,9.25,4.44,0.00,14.65,12.05,11.05,0.00,0.00,0.00,0.00,0.00,10.25
seq34,0.00,14.65,0.00,0.00,0.00,5.69,0.00,4.72,0.00,2.08,0.00,0.00,18.05,0.00,0.00,0.00,0.00,9.25,0.00,0.00
seq35,0.00,0.00,12.05,11.05,0.00,9.58,0.00,9.65,6.00,9.05,0.00,18.05,0.00,5.53,16.25,0.00,11.05,12.11,9.83,0.00
seq36,17.24,0.00,18.23,7.65,0.00,0.00,0.00,20.05,9.24,14.19,10.05,0.00,6.15,0.00,11.75,0.00,0.00,8.48,0.00,7.90
seq37,9.25,0.00,0.00,16.25,9.05,7.89,0.00,14.65,0.00,5.72,0.00,7.89,9.05,12.32,6.39,13.25,0.00,0.00,10.25,9.65
seq38,11.05,10.25,0.00,0.00,0.00,7.68,0.00,9.65,13.25,10.25,12.05,6.17,8.95,0.00,7.05,8.95,14.65,0.00,13.25,14.65
seq39,14.65,0.00,0.00,11.05,0.00,16.25,12.05,11.05,12.05,2.94,0.00,9.47,0.00,13.25,9.05,0.00,8.95,8.17,0.00,0.00
seq40,0.00,13.25,0.00,11.05,0.00,8.32,0.00,6.42,9.05,0.00,0.00,10.25,18.05,14.65,4.94,0.00,11.17,0.00,7.05,0.00
seq41,5.26,0.00,0.00,0.00,0.00,0.00,10.05,9.62,12.67,9.15,10.23,0.00,16.59,0.00,11.75,18.23,13.86,7.90,0.00,20.05
seq42,6.08,0.00,0.00,0.00,0.00,0.00,3.90,0.00,10.08,7.08,7.08,8.42,4.73,0.00,0.00,0.00,10.08,0.00,5.42,0.00
seq43,6.95,19.05,0.00,8.29,10.05,0.00,8.48,0.00,12.77,6.63,0.00,0.00,6.35,0.00,15.62,11.14,0.00,11.86,0.00,10.59
seq44,9.87,0.00,0.00,6.67,7.50,0.00,0.00,8.67,7.73,7.45,0.00,0.00,0.00,0.00,0.00,13.07,0.00,6.67,7.07,6.53
seq45,0.00,8.28,4.56,8.72,14.28,0.00,0.00,9.39,16.06,4.00,0.00,0.00,0.00,0.00,11.39,10.47,0.00,0.00,6.19,0.00
seq46,0.00,8.28,4.56,8.72,14.28,0.00,0.00,8.06,16.06,4.00,0.00,0.00,0.00,0.00,11.39,10.47,0.00,0.00,6.19,0.00
seq47,0.00,8.28,4.56,8.72,14.28,0.00,0.00,0.00,16.06,2.80,0.00,0.00,0.00,0.00,11.39,10.47,0.00,9.39,6.19,0.00
seq48,0.00,9.65,5.17,10.25,16.25,16.25,0.00,6.42,18.05,6.95,0.00,0.00,0.00,0.00,11.05,9.94,0.00,11.05,5.94,0.00
seq49,0.00,9.05,4.72,9.25,13.25,0.00,0.00,7.05,14.65,7.37,0.00,0.00,0.00,0.00,13.25,10.21,16.25,9.65,6.94,0.00
seq50,0.00,8.28,4.94,8.72,14.28,0.00,0.00,5.65,16.06,6.24,0.00,0.00,0.00,0.00,12.72,10.47,0.00,9.39,6.19,0.00
seq51,0.00,8.28,4.56,8.72,14.28,0.00,0.00,5.76,16.06,7.06,0.00,0.00,0.00,0.00,11.39,10.47,0.00,9.39,6.19,0.00
seq52,0.00,11.39,8.06,16.06,14.28,0.00,0.00,5.76,16.06,7.06,0.00,0.00,0.00,0.00,10.28,6.00,0.00,9.39,6.19,0.00
seq53,0.00,8.28,4.56,8.72,9.39,0.00,0.00,6.71,16.06,5.65,0.00,0.00,0.00,0.00,11.39,10.47,0.00,8.72,6.81,0.00
seq54,0.00,8.28,4.56,0.00,14.28,0.00,0.00,8.06,16.06,7.06,0.00,0.00,0.00,0.00,11.39,16.06,7.88,5.06,6.19,0.00
seq55,0.00,8.28,4.56,0.00,14.28,0.00,0.00,9.39,16.06,7.06,0.00,0.00,0.00,0.00,11.39,16.06,7.88,5.76,6.19,0.00
seq56,0.00,8.28,5.56,0.00,14.28,0.00,0.00,9.41,16.06,12.72,0.00,0.00,0.00,0.00,11.39,7.88,0.00,6.31,6.19,0.00
seq57,0.00,0.00,6.00,10.28,14.28,0.00,8.72,0.00,16.06,4.56,0.00,0.00,0.00,0.00,0.00,10.47,0.00,3.94,5.87,0.00
seq58,0.00,8.28,4.56,0.00,14.28,0.00,0.00,0.00,16.06,7.06,0.00,0.00,0.00,0.00,11.39,10.47,8.72,3.94,6.19,0.00
seq59,0.00,8.28,4.40,8.59,14.28,0.00,0.00,5.76,0.00,7.06,0.00,0.00,0.00,0.00,0.00,10.47,0.00,9.39,6.19,0.00
seq60,0.00,8.28,11.39,16.06,14.28,0.00,0.00,5.76,8.72,7.06,0.00,0.00,0.00,0.00,4.56,10.47,0.00,9.39,6.19,0.00
seq61,0.00,8.28,10.28,0.00,14.28,0.00,0.00,5.76,8.59,7.06,0.00,0.00,0.00,0.00,4.44,10.47,0.00,9.39,6.19,0.00
seq62,16.74,0.00,10.59,9.45,0.00,0.00,0.00,10.67,8.67,8.55,0.00,12.46,27.14,25.69,21.14,5.97,0.00,34.03,19.36,0.00
seq63,13.07,0.00,0.00,0.00,7.73,0.00,6.67,6.36,11.33,0.00,0.00,6.07,6.93,0.00,7.73,0.00,3.38,0.00,11.33,0.00
seq64,20.97,4.73,0.00,13.10,14.77,13.10,0.00,9.24,15.50,22.32,19.74,15.83,0.00,0.00,0.00,6.96,15.10,10.30,0.00,20.97
seq65,14.03,4.56,0.00,24.43,18.83,10.54,0.00,12.25,14.69,0.00,0.00,22.83,16.00,0.00,21.37,6.44,14.83,6.68,0.00,20.03
seq66,0.00,16.06,0.00,0.00,4.19,7.41,15.06,0.00,0.00,5.76,0.00,0.00,11.39,8.06,12.72,7.06,8.72,7.88,0.00,0.00
seq67,7.05,4.39,9.90,0.00,8.15,5.06,0.00,12.95,0.00,17.24,0.00,10.38,0.00,0.00,0.00,11.90,0.00,9.35,19.05,11.05
seq68,7.68,8.32,18.05,0.00,9.65,8.94,0.00,0.00,0.00,0.00,0.00,13.25,5.83,11.05,0.00,0.00,0.00,5.28,6.61,0.00
seq69,34.03,0.00,27.71,6.90,0.00,0.00,19.36,14.56,17.54,9.47,0.00,9.76,0.00,12.79,32.14,12.15,23.14,0.00,32.14,24.36
seq70,3.18,0.00,0.00,8.41,34.03,0.00,0.00,0.00,5.93,5.53,0.00,30.36,0.00,0.00,0.00,25.69,0.00,0.00,23.38,0.00
seq71,16.25,10.25,14.65,7.05,13.25,17.05,6.72,0.00,6.11,0.00,9.65,0.00,0.00,4.31,0.00,9.25,0.00,0.00,0.00,0.00
seq72,17.14,5.22,18.15,24.05,28.11,9.97,0.00,19.46,31.35,15.47,0.00,35.03,17.58,0.00,12.17,13.14,7.85,16.92,0.00,17.57
seq73,0.00,2.15,0.00,0.00,6.71,7.53,0.00,5.76,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,6.71,0.00,0.00,0.00
seq74,0.00,2.15,0.00,0.00,14.28,7.53,0.00,11.39,0.00,9.39,0.00,0.00,0.00,0.00,3.07,0.00,14.28,8.28,0.00,0.00
seq75,7.79,0.00,0.00,15.19,0.00,7.57,25.04,17.35,5.12,4.43,0.00,0.00,0.00,0.00,0.00,10.04,9.65,0.00,0.00,21.48
seq76,7.46,0.00,0.00,15.19,0.00,7.57,0.00,17.35,5.12,5.04,0.00,25.04,0.00,0.00,0.00,18.52,7.52,13.70,0.00,21.48
seq77,0.00,0.00,10.25,8.53,4.17,18.05,0.00,7.68,5.17,12.11,0.00,14.65,0.00,9.05,4.39,0.00,0.00,18.05,0.00,0.00
seq78,0.00,0.00,10.25,13.25,6.42,18.05,0.00,5.50,5.17,12.11,0.00,14.65,0.00,9.05,4.39,0.00,0.00,8.63,0.00,0.00
seq79,8.72,0.00,0.00,0.00,10.28,7.65,0.00,14.28,6.47,11.76,8.72,8.06,0.00,0.00,0.00,9.39,0.00,5.07,8.28,11.39
seq80,10.55,4.16,20.03,20.03,0.00,14.62,0.00,14.69,21.37,14.43,0.00,28.03,13.52,0.00,0.00,9.61,12.62,5.78,16.03,26.17
seq81,14.43,3.84,0.00,20.03,16.03,10.68,0.00,14.69,17.59,14.17,0.00,19.10,13.52,0.00,26.17,9.86,13.52,6.89,0.00,24.43
seq82,0.00,3.46,0.00,17.93,0.00,7.12,0.00,21.86,0.00,25.17,0.00,13.04,8.67,0.00,25.17,14.68,6.65,10.46,17.93,0.00
seq83,6.42,9.05,13.25,0.00,9.25,8.94,0.00,16.25,0.00,0.00,0.00,0.00,6.72,9.05,0.00,0.00,18.05,5.28,6.17,0.00
seq84,0.00,0.00,0.00,0.00,2.80,16.06,0.00,14.28,2.25,9.39,0.00,0.00,0.00,0.00,7.94,16.06,0.00,0.00,0.00,0.00
seq85,22.46,3.30,0.00,18.18,10.89,9.65,0.00,0.00,24.18,13.89,0.00,26.04,13.46,19.46,0.00,9.88,8.16,9.26,0.00,15.18
seq86,7.06,15.06,0.00,4.50,0.00,15.06,0.00,7.53,11.76,4.81,0.00,0.00,7.65,0.00,0.00,0.00,4.00,7.65,0.00,0.00
seq87,9.31,15.06,0.00,4.93,0.00,15.06,0.00,7.53,11.76,4.81,0.00,0.00,7.65,0.00,0.00,0.00,4.00,0.00,6.19,0.00
seq88,0.00,2.15,0.00,0.00,0.00,4.93,0.00,5.76,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,6.71,0.00,0.00
seq89,14.17,3.96,0.00,19.74,16.13,10.55,0.00,8.04,18.50,0.00,0.00,20.03,13.23,0.00,27.16,7.03,0.00,11.10,0.00,25.42
seq90,0.00,3.84,0.00,20.03,16.03,8.67,0.00,9.18,0.00,26.17,0.00,20.41,13.52,0.00,0.00,8.96,14.03,6.15,0.00,24.43
seq91,0.00,0.00,20.14,7.94,0.00,0.00,17.69,9.39,30.36,14.69,22.97,9.35,0.00,23.56,19.36,12.15,13.43,0.00,20.50,17.14
seq92,9.56,0.00,0.00,7.81,7.06,12.31,0.00,12.31,5.50,9.56,10.81,0.00,7.81,8.56,11.33,7.31,0.00,0.00,0.00,7.31
seq93,0.00,3.84,28.03,11.38,14.43,21.37,26.17,14.69,14.11,14.17,0.00,12.97,13.52,0.00,0.00,10.21,14.03,6.89,16.03,24.43
seq94,0.00,5.69,0.00,0.00,11.08,0.00,0.00,0.00,12.07,6.93,0.00,0.00,5.08,0.00,4.77,5.69,0.00,8.93,0.00,6.07
seq95,9.58,7.72,14.65,0.00,11.05,9.47,0.00,0.00,0.00,18.05,0.00,11.05,4.72,13.25,0.00,0.00,0.00,6.61,7.68,0.00
seq96,7.05,6.42,13.25,16.25,7.76,0.00,0.00,8.53,12.05,18.05,0.00,11.05,6.94,0.00,0.00,10.25,0.00,16.25,0.00,0.00
seq97,6.17,6.42,0.00,16.25,9.94,0.00,0.00,8.53,12.05,8.63,0.00,0.00,4.12,0.00,0.00,10.25,0.00,16.25,0.00,0.00
seq98,14.65,6.42,0.00,16.25,9.06,11.05,0.00,8.53,12.05,18.05,0.00,0.00,4.12,0.00,0.00,10.25,0.00,8.32,0.00,0.00
seq99,14.65,6.42,0.00,16.25,9.94,0.00,0.00,8.53,12.05,8.95,0.00,11.05,4.12,0.00,0.00,10.25,0.00,8.32,0.00,0.00
seq100,16.77,14.92,0.00,8.38,8.00,14.92,0.00,10.70,15.44,9.19,0.00,0.00,4.97,0.00,0.00,14.51,0.00,17.59,0.00,0.00
seq101,14.65,0.00,0.00,7.68,9.06,11.05,0.00,8.61,12.05,18.05,0.00,0.00,4.12,0.00,0.00,10.25,0.00,8.32,0.00,0.00
seq102,14.65,6.11,0.00,7.68,9.06,0.00,0.00,8.53,12.05,18.05,11.05,11.05,4.12,0.00,0.00,0.00,0.00,16.25,0.00,0.00
seq103,14.65,6.11,0.00,7.68,9.94,11.05,0.00,8.53,12.05,8.95,11.05,0.00,4.12,0.00,0.00,0.00,0.00,16.25,0.00,0.00
seq104,14.65,0.00,0.00,7.68,7.76,11.05,0.00,8.53,6.11,8.95,11.05,0.00,4.12,0.00,0.00,0.00,0.00,16.25,0.00,0.00
seq105,14.65,6.00,0.00,7.68,7.76,11.05,0.00,13.25,12.05,18.05,11.05,0.00,4.12,0.00,0.00,10.25,0.00,16.25,0.00,0.00
seq106,7.05,0.00,13.25,7.68,7.76,0.00,0.00,8.53,12.05,18.05,11.05,11.05,6.94,0.00,0.00,10.25,0.00,16.25,0.00,0.00
seq107,7.05,0.00,0.00,7.68,9.94,0.00,0.00,5.06,12.05,18.05,11.05,11.05,4.12,0.00,0.00,10.25,0.00,16.25,0.00,0.00
seq108,6.17,0.00,0.00,7.68,9.94,0.00,0.00,8.53,12.05,8.63,11.05,0.00,4.12,0.00,0.00,10.25,0.00,16.25,0.00,0.00
seq109,14.65,0.00,0.00,7.68,9.94,0.00,0.00,8.53,8.63,18.05,11.05,11.05,4.12,0.00,0.00,10.25,0.00,8.32,0.00,0.00
seq110,21.03,0.00,18.69,8.58,28.69,0.00,30.36,23.38,11.37,9.03,0.00,9.70,0.00,12.79,0.00,12.15,34.03,0.00,19.15,0.00
seq111,0.00,0.00,15.86,13.66,12.14,17.58,0.00,10.23,7.47,15.16,0.00,24.05,28.11,18.00,6.55,22.03,31.35,14.58,0.00,0.00
seq112,4.44,0.00,8.06,0.00,0.00,10.47,12.72,3.94,0.00,15.06,6.71,0.00,10.28,9.39,12.72,0.00,0.00,0.00,14.28,0.00
seq113,5.42,0.00,0.00,0.00,5.42,0.00,6.08,0.00,0.00,7.45,0.00,0.00,3.90,0.00,7.08,5.08,9.09,0.00,0.00,0.00
seq114,16.60,0.00,10.34,20.49,17.25,25.87,47.45,0.00,10.82,0.00,0.00,10.26,26.55,28.69,14.08,0.00,0.00,16.34,0.00,28.13
seq115,0.00,4.42,0.00,17.77,14.83,9.54,0.00,9.75,18.83,14.62,0.00,19.10,11.59,0.00,28.03,6.68,14.43,10.25,0.00,26.17
seq116,27.14,0.00,23.14,7.61,0.00,0.00,23.14,19.14,13.66,8.39,0.00,11.91,0.00,11.58,0.00,11.33,28.69,0.00,26.00,30.36
seq117,6.63,9.25,16.25,0.00,9.05,8.50,0.00,0.00,0.00,0.00,0.00,16.25,7.06,9.65,0.00,0.00,0.00,4.83,5.94,0.00
seq118,18.52,0.00,0.00,0.00,15.12,0.00,0.00,21.48,15.27,14.65,0.00,16.04,11.60,7.60,9.05,14.37,14.58,13.70,0.00,0.00
seq119,0.00,12.11,6.42,13.25,0.00,7.37,0.00,0.00,0.00,10.21,0.00,8.63,15.26,0.00,7.68,0.00,7.89,6.00,10.25,0.00
seq120,18.03,0.00,26.97,13.81,0.00,17.51,0.00,24.05,9.21,7.53,20.16,18.00,0.00,10.97,9.03,0.00,10.40,8.74,17.57,28.11
seq121,17.70,0.00,0.00,18.09,16.48,13.29,16.48,11.83,15.91,12.34,22.85,13.16,11.16,31.03,15.55,0.00,0.00,15.58,0.00,11.74
seq122,0.00,3.47,0.00,0.00,8.72,10.69,0.00,0.00,0.00,10.28,0.00,0.00,0.00,0.00,4.31,0.00,0.00,10.24,0.00,8.72
seq123,18.05,7.89,9.25,0.00,0.00,7.89,0.00,0.00,0.00,10.21,0.00,6.95,6.72,0.00,18.05,0.00,12.05,7.50,10.84,0.00
seq124,0.00,15.26,7.68,11.05,0.00,6.11,0.00,16.25,0.00,12.32,0.00,9.65,14.65,0.00,6.39,0.00,7.05,5.79,9.25,0.00
seq125,78.10,7.68,21.64,40.35,57.82,14.53,0.00,54.02,11.74,20.89,52.80,39.26,12.86,23.98,20.99,52.05,33.38,30.82,63.27,38.08
seq126,0.00,0.00,0.00,0.00,0.00,5.27,0.00,0.00,0.00,5.42,0.00,8.42,4.18,7.08,7.08,3.30,0.00,10.08,0.00,0.00
seq127,0.00,8.28,8.06,0.00,0.00,12.72,9.39,12.72,0.00,11.39,0.00,5.76,8.72,0.00,0.00,8.67,8.28,6.94,0.00,9.41
seq128,0.00,3.50,0.00,7.45,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.73,0.00,2.90,8.10,0.00,0.00,0.00,7.45
seq129,0.00,0.00,0.00,6.15,5.54,6.92,5.69,0.00,8.00,0.00,6.92,0.00,9.38,0.00,5.69,8.42,0.00,11.08,6.15,9.38
seq130,12.32,7.50,12.05,0.00,13.25,9.25,0.00,0.00,0.00,15.26,0.00,9.65,4.50,16.25,0.00,0.00,18.05,8.32,7.89,0.00
seq131,16.35,4.87,0.00,13.19,0.00,8.48,0.00,6.72,25.04,18.52,0.00,18.52,8.19,0.00,19.93,7.60,0.00,12.04,12.59,21.48
seq132,0.00,7.68,7.68,0.00,0.00,7.05,0.00,0.00,0.00,8.95,0.00,6.11,8.63,0.00,14.65,0.00,10.25,8.17,12.61,0.00
seq133,5.04,0.00,28.11,8.55,35.03,0.00,0.00,24.05,9.03,6.97,33.14,31.35,0.00,0.00,26.65,26.65,0.00,0.00,19.39,0.00
seq134,6.52,0.00,28.11,7.77,35.03,0.00,0.00,24.05,8.59,8.62,33.14,31.35,0.00,0.00,26.65,26.65,0.00,0.00,19.39,0.00
seq135,7.05,9.65,11.05,0.00,10.25,8.32,16.25,13.25,0.00,0.00,0.00,0.00,6.95,9.25,0.00,0.00,14.65,6.61,6.94,0.00
seq136,8.00,0.00,0.00,0.00,0.00,7.06,6.19,9.41,0.00,0.00,6.36,8.19,13.29,0.00,7.53,0.00,8.59,0.00,15.06,15.06
seq137,6.08,0.00,0.00,0.00,0.00,0.00,0.00,2.90,7.08,7.08,5.08,8.42,0.00,8.42,5.08,0.00,0.00,0.00,0.00,5.27
seq138,5.08,0.00,0.00,0.00,0.00,0.00,0.00,2.90,7.08,6.18,0.00,8.42,0.00,8.42,5.08,0.00,0.00,0.00,0.00,5.27
seq139,5.42,0.00,0.00,0.00,0.00,0.00,0.00,4.73,7.08,6.18,5.08,8.42,0.00,8.42,5.08,0.00,0.00,0.00,0.00,5.27
