ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
seq281,8.79,0.00,0.00,19.52,19.52,14.43,8.79,8.38,10.21,7.23,0.00,0.00,10.04,0.00,0.00,13.52,0.00,4.76,0.00,0.00
seq282,0.00,0.00,13.07,7.73,0.00,5.79,9.87,7.07,12.07,8.67,0.00,0.00,0.00,7.07,9.87,6.67,0.00,6.53,6.50,0.00
seq283,0.00,0.00,0.00,0.00,4.25,0.00,0.00,6.36,8.93,2.73,0.00,0.00,7.79,0.00,0.00,4.77,6.07,10.36,0.00,0.00
seq284,6.92,0.00,6.92,8.00,8.00,11.08,0.00,3.27,5.08,9.38,0.00,0.00,0.00,0.00,0.00,9.38,0.00,0.00,11.08,0.00
seq285,9.38,0.00,8.00,5.54,11.08,11.08,0.00,3.45,6.08,8.00,0.00,0.00,0.00,0.00,0.00,5.69,0.00,0.00,9.38,0.00
seq286,14.40,0.00,12.88,0.00,0.00,0.00,23.04,13.52,7.05,6.53,14.40,0.00,0.00,11.84,11.74,0.00,19.52,10.61,0.00,0.00
seq287,26.17,0.00,11.62,15.91,0.00,21.14,24.74,11.38,8.72,10.61,0.00,10.85,0.00,14.62,16.03,5.10,32.03,0.00,11.79,0.00
seq288,3.16,0.00,0.00,0.00,0.00,4.55,0.00,2.74,2.53,0.00,0.00,0.00,0.00,0.00,22.04,0.00,0.00,0.00,0.00,0.00
seq289,0.00,8.96,0.00,19.52,8.09,10.00,13.52,12.04,0.00,15.46,11.84,0.00,0.00,0.00,7.22,0.00,0.00,6.14,0.00,0.00
seq290,0.00,11.41,0.00,16.64,0.00,16.64,0.00,0.00,14.40,3.61,11.60,0.00,11.84,0.00,8.61,13.52,11.60,11.04,0.00,0.00
seq291,2.44,0.00,0.00,0.00,0.00,0.00,7.45,0.00,0.00,0.00,0.00,7.45,5.27,0.00,0.00,9.09,4.55,5.30,0.00,4.73
seq292,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,3.45,2.00,0.00,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00
seq293,0.00,5.42,5.08,0.00,0.00,0.00,7.08,0.00,8.42,3.45,0.00,0.00,10.08,0.00,8.42,5.30,0.00,6.08,0.00,0.00
seq294,10.08,0.00,0.00,0.00,0.00,4.18,8.42,0.00,7.08,4.73,5.27,0.00,0.00,0.00,3.27,6.08,0.00,0.00,0.00,0.00
seq295,0.00,0.00,0.00,0.00,0.00,10.08,0.00,5.42,7.11,0.00,0.00,5.08,8.42,0.00,3.30,0.00,0.00,0.00,0.00,5.42
seq296,6.08,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.30,0.00,0.00,0.00,2.70,0.00,10.08,0.00,0.00,0.00
seq297,7.08,0.00,0.00,0.00,0.00,0.00,10.08,5.08,0.00,6.08,3.30,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq298,6.08,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,0.00,3.30,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq299,10.08,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,6.08,3.30,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq300,7.08,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.82,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq301,5.42,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.30,0.00,0.00,6.08,4.18,0.00,10.08,0.00,0.00,0.00
seq302,10.08,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.30,0.00,0.00,6.08,2.70,0.00,0.00,0.00,0.00,0.00
seq303,8.42,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.27,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq304,5.08,0.00,0.00,0.00,0.00,0.00,10.08,7.08,0.00,6.08,3.30,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq305,4.91,0.00,0.00,0.00,2.90,0.00,0.00,5.08,0.00,8.42,0.00,0.00,0.00,0.00,10.08,0.00,0.00,4.00,10.08,6.08
seq306,5.08,0.00,0.00,0.00,5.08,0.00,10.08,0.00,0.00,0.00,0.00,0.00,5.56,0.00,10.08,0.00,5.30,8.42,0.00,0.00
seq307,4.73,0.00,0.00,0.00,8.42,7.08,0.00,0.00,5.08,0.00,0.00,0.00,6.08,0.00,0.00,5.27,5.42,7.45,6.08,0.00
seq308,0.00,0.00,0.00,0.00,10.08,0.00,0.00,6.08,8.42,8.42,0.00,0.00,3.30,0.00,0.00,2.90,7.08,0.00,10.08,0.00
seq309,10.08,5.08,5.08,0.00,0.00,0.00,4.00,5.42,0.00,0.00,0.00,6.08,0.00,0.00,5.42,0.00,3.90,0.00,10.08,0.00
seq310,11.08,4.92,0.00,0.00,8.00,3.82,0.00,0.00,11.08,0.00,0.00,5.54,6.92,0.00,0.00,0.00,5.69,0.00,3.42,0.00
seq311,11.08,4.92,0.00,5.69,8.00,3.82,0.00,0.00,5.08,0.00,0.00,0.00,6.92,0.00,0.00,0.00,0.00,0.00,6.15,6.15
seq312,11.08,4.92,0.00,0.00,8.00,3.82,0.00,0.00,11.08,0.00,0.00,5.54,6.92,5.69,0.00,0.00,0.00,0.00,3.42,0.00
seq313,6.92,0.00,0.00,0.00,8.42,5.69,0.00,3.09,4.08,9.38,0.00,0.00,0.00,0.00,0.00,4.08,0.00,0.00,5.69,0.00
seq314,5.69,0.00,0.00,0.00,6.93,6.93,0.00,0.00,0.00,7.85,0.00,0.00,6.36,0.00,7.85,8.93,6.07,12.07,8.93,12.07
seq315,0.00,0.00,12.07,0.00,0.00,3.75,0.00,6.93,0.00,0.00,0.00,6.07,6.36,7.79,4.91,6.93,0.00,8.93,0.00,0.00
seq316,0.00,0.00,12.07,0.00,0.00,3.75,0.00,0.00,0.00,0.00,0.00,5.08,6.36,7.79,4.91,0.00,0.00,4.31,0.00,0.00
seq317,5.36,11.33,11.33,13.07,0.00,6.67,0.00,0.00,0.00,13.07,0.00,9.87,0.00,0.00,9.87,6.50,7.73,7.79,0.00,6.67
seq318,0.00,0.00,0.00,8.67,6.93,5.79,7.07,3.85,0.00,8.67,0.00,6.67,0.00,9.87,13.07,0.00,6.53,11.33,0.00,0.00
seq319,11.33,0.00,0.00,0.00,0.00,0.00,0.00,7.07,0.00,7.79,0.00,9.87,0.00,5.21,0.00,4.18,6.50,6.53,0.00,0.00
seq320,0.00,0.00,0.00,0.00,8.93,5.69,0.00,0.00,7.73,3.85,0.00,0.00,0.00,8.67,12.07,0.00,6.36,7.73,0.00,0.00
seq321,5.08,0.00,0.00,0.00,0.00,6.93,0.00,0.00,7.73,0.00,0.00,0.00,7.07,0.00,5.21,8.67,0.00,7.50,10.36,8.67
seq322,5.21,0.00,0.00,0.00,0.00,0.00,4.64,0.00,0.00,0.00,0.00,0.00,7.73,0.00,7.79,4.15,7.07,4.31,8.67,0.00
seq323,5.08,0.00,0.00,0.00,0.00,6.93,0.00,0.00,7.73,0.00,0.00,0.00,7.07,0.00,5.21,8.67,0.00,7.50,10.36,8.67
seq324,6.53,0.00,13.07,0.00,5.21,6.67,0.00,0.00,0.00,4.36,0.00,0.00,6.36,7.50,5.54,0.00,0.00,0.00,7.07,0.00
seq325,6.07,6.67,0.00,5.38,0.00,0.00,8.67,0.00,7.07,6.53,0.00,13.07,7.73,0.00,0.00,7.07,6.36,8.67,0.00,0.00
seq326,8.42,0.00,10.36,0.00,0.00,2.36,0.00,0.00,6.93,6.15,6.36,0.00,0.00,0.00,6.07,7.79,0.00,0.00,0.00,0.00
seq327,0.00,0.00,0.00,0.00,0.00,5.54,0.00,8.67,6.53,6.07,0.00,0.00,7.85,0.00,11.33,3.69,0.00,0.00,0.00,7.07
seq328,6.67,7.06,0.00,8.67,0.00,5.79,0.00,0.00,0.00,9.56,0.00,0.00,5.60,4.50,0.00,0.00,0.00,7.73,0.00,0.00
seq329,0.00,0.00,0.00,0.00,0.00,3.36,0.00,3.93,13.07,10.81,0.00,0.00,0.00,0.00,7.33,6.53,0.00,4.36,0.00,0.00
seq330,0.00,6.53,0.00,0.00,7.07,13.07,0.00,7.07,0.00,0.00,0.00,8.67,0.00,7.73,2.18,7.50,11.33,8.67,0.00,0.00
seq331,0.00,0.00,0.00,0.00,3.25,0.00,0.00,7.31,13.07,12.31,0.00,0.00,0.00,0.00,8.93,0.00,0.00,7.20,14.06,7.06
seq332,0.00,0.00,0.00,0.00,4.58,0.00,0.00,7.81,9.87,7.81,0.00,0.00,0.00,0.00,12.07,0.00,0.00,5.07,8.56,9.56
seq333,0.00,0.00,0.00,0.00,0.00,3.93,0.00,4.67,15.06,9.41,0.00,0.00,0.00,0.00,6.00,6.19,0.00,6.53,0.00,0.00
seq334,5.06,0.00,0.00,0.00,15.06,0.00,0.00,5.56,2.92,5.20,0.00,0.00,0.00,0.00,4.00,0.00,0.00,7.53,0.00,0.00
seq335,0.00,0.00,0.00,0.00,0.00,3.07,0.00,11.76,8.59,0.00,0.00,0.00,9.41,11.76,3.75,0.00,6.69,0.00,0.00,13.29
seq336,0.00,0.00,0.00,0.00,0.00,3.07,0.00,11.76,0.00,0.00,0.00,0.00,0.00,11.76,2.18,15.06,6.69,0.00,0.00,13.29
seq337,11.76,0.00,0.00,0.00,10.69,5.07,0.00,5.56,15.06,3.36,0.00,0.00,8.59,0.00,0.00,5.06,0.00,9.41,0.00,0.00
seq338,10.81,8.28,14.28,5.53,11.76,12.72,8.06,5.53,9.39,12.72,0.00,0.00,0.00,8.06,0.00,0.00,0.00,0.00,0.00,9.41
seq339,0.00,8.28,4.56,8.72,14.28,0.00,0.00,5.76,16.06,6.94,0.00,0.00,0.00,0.00,12.72,8.59,0.00,10.28,6.19,0.00
seq340,4.19,0.00,8.00,7.88,8.59,0.00,0.00,0.00,2.93,7.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.06,14.28,8.72
seq341,4.06,0.00,0.00,0.00,10.47,6.12,0.00,4.81,0.00,6.81,0.00,0.00,16.06,0.00,0.00,10.28,11.39,9.39,8.28,0.00
seq342,4.81,0.00,0.00,0.00,14.28,7.88,0.00,6.47,0.00,7.06,0.00,0.00,11.39,12.72,16.06,8.28,8.72,8.06,8.12,0.00
seq343,5.65,0.00,0.00,0.00,0.00,11.76,0.00,5.81,0.00,8.28,0.00,0.00,8.72,9.39,11.39,7.65,8.06,8.72,8.12,14.28
seq344,6.19,0.00,0.00,0.00,0.00,15.06,0.00,6.47,0.00,8.28,0.00,0.00,8.06,8.06,8.72,6.24,9.39,11.39,8.28,10.24
seq345,6.24,0.00,12.72,0.00,0.00,11.39,0.00,7.65,0.00,10.28,0.00,14.28,9.39,8.72,8.06,6.94,12.72,16.06,8.28,7.41
seq346,7.31,0.00,9.39,0.00,0.00,8.72,0.00,5.53,0.00,14.28,0.00,10.28,12.72,11.39,9.39,8.06,14.28,12.72,10.28,6.71
seq347,8.19,0.00,0.00,0.00,7.41,5.94,0.00,12.72,0.00,3.64,10.28,16.06,0.00,10.28,0.00,0.00,0.00,0.00,8.28,0.00
seq348,11.65,0.00,0.00,0.00,0.00,4.31,0.00,8.28,0.00,5.20,9.41,0.00,0.00,8.72,0.00,12.72,10.28,8.00,16.06,0.00
seq349,8.12,0.00,0.00,0.00,8.28,4.31,0.00,0.00,0.00,3.93,8.59,12.72,0.00,8.72,0.00,5.53,0.00,0.00,16.06,0.00
seq350,8.12,0.00,0.00,8.72,0.00,4.31,0.00,0.00,0.00,3.07,7.65,0.00,0.00,0.00,0.00,12.72,5.53,11.39,16.06,0.00
seq351,15.06,7.65,6.27,13.29,0.00,8.19,0.00,0.00,6.00,8.00,0.00,9.41,8.59,9.41,0.00,10.47,0.00,8.00,0.00,0.00
seq352,0.00,0.00,0.00,2.64,0.00,10.28,0.00,16.06,0.00,4.40,0.00,0.00,14.28,8.06,15.06,10.47,8.28,0.00,0.00,0.00
seq353,0.00,0.00,0.00,0.00,7.41,8.28,0.00,4.31,7.88,5.69,0.00,8.94,6.24,0.00,16.06,0.00,10.47,0.00,0.00,0.00
seq354,7.06,0.00,6.71,0.00,11.39,0.00,5.18,8.72,0.00,0.00,0.00,8.28,8.56,0.00,8.06,12.72,4.44,16.06,0.00,0.00
seq355,11.16,17.05,8.63,0.00,0.00,4.44,8.95,0.00,0.00,0.00,7.83,0.00,0.00,5.53,12.72,15.26,0.00,0.00,10.21,6.72
seq356,0.00,9.47,5.53,13.68,8.95,0.00,0.00,5.76,0.00,6.94,10.21,15.26,9.47,0.00,0.00,5.18,17.05,13.68,0.00,0.00
seq357,0.00,17.05,5.06,12.32,10.21,0.00,0.00,6.00,0.00,6.28,13.68,11.16,8.63,0.00,0.00,5.29,12.32,8.95,0.00,0.00
seq358,6.63,18.05,0.00,0.00,12.61,0.00,0.00,11.05,6.63,12.05,0.00,0.00,9.65,6.95,11.17,0.00,8.53,0.00,16.25,12.05
seq359,18.05,0.00,7.05,10.21,0.00,0.00,0.00,0.00,3.65,4.59,0.00,6.11,0.00,0.00,0.00,7.89,18.05,10.84,0.00,0.00
seq360,6.06,0.00,7.05,10.21,0.00,0.00,0.00,0.00,3.65,13.58,0.00,6.11,0.00,0.00,0.00,7.89,18.05,10.84,0.00,0.00
seq361,3.28,0.00,0.00,0.00,19.05,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.72,0.00,0.00
seq362,9.90,0.00,0.00,0.00,19.05,0.00,9.62,0.00,0.00,11.75,10.38,6.45,7.17,8.05,11.05,10.45,7.68,0.00,11.90,0.00
seq363,0.00,0.00,15.62,0.00,0.00,11.05,9.90,4.84,6.63,4.47,0.00,9.90,0.00,9.52,10.38,11.05,0.00,16.25,0.00,11.90
seq364,0.00,0.00,11.05,11.90,0.00,9.65,0.00,8.05,11.75,13.05,0.00,10.38,11.90,9.79,9.62,0.00,0.00,9.90,6.53,14.19
seq365,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.90,0.00
seq366,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
seq367,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,12.95,0.00
seq368,3.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00
seq369,7.71,0.00,16.59,5.55,20.05,15.14,0.00,10.59,5.85,5.55,0.00,0.00,0.00,0.00,8.29,7.90,0.00,13.86,18.23,20.05
seq370,3.39,0.00,0.00,0.00,2.31,0.00,0.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
seq371,13.59,0.00,0.00,0.00,2.31,0.00,0.00,12.70,4.74,11.41,0.00,0.00,0.00,0.00,3.95,0.00,0.00,10.61,0.00,0.00
seq372,3.39,0.00,0.00,0.00,21.04,0.00,0.00,0.00,2.80,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
seq373,3.39,0.00,0.00,0.00,21.04,0.00,0.00,2.35,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
seq374,11.30,14.78,12.70,9.43,0.00,16.09,0.00,10.87,12.70,6.72,0.00,0.00,0.00,21.04,6.68,12.23,7.77,19.22,0.00,0.00
seq375,0.00,16.09,17.57,0.00,16.09,11.30,0.00,0.00,12.70,4.35,0.00,0.00,14.78,0.00,4.53,0.00,13.50,13.65,14.78,10.61
seq376,6.10,0.00,0.00,0.00,8.26,4.19,0.00,7.50,0.00,5.15,22.04,18.54,0.00,13.54,0.00,22.04,0.00,20.21,13.54,0.00
seq377,15.71,0.00,12.71,10.87,0.00,0.00,0.00,20.21,6.50,4.86,0.00,3.55,0.00,0.00,11.21,9.50,22.04,14.52,0.00,0.00
seq378,8.26,0.00,17.04,5.32,0.00,18.54,12.71,7.59,14.54,13.41,0.00,22.04,0.00,0.00,17.04,11.91,6.68,11.04,0.00,0.00
seq379,10.00,0.00,0.00,0.00,2.39,0.00,0.00,16.64,2.75,12.80,0.00,0.00,0.00,0.00,3.15,0.00,0.00,0.00,0.00,0.00
seq380,0.00,6.17,0.00,0.00,23.04,12.24,16.64,0.00,0.00,18.00,15.44,18.00,6.57,0.00,13.30,11.65,8.09,0.00,14.40,12.80
seq381,0.00,0.00,18.46,8.21,11.84,18.00,9.88,9.21,5.50,11.52,11.60,14.40,0.00,9.46,0.00,14.95,0.00,12.88,0.00,0.00
seq382,6.78,0.00,22.19,0.00,24.04,9.68,0.00,14.35,5.32,6.78,0.00,0.00,0.00,0.00,4.50,0.00,0.00,10.38,0.00,0.00
seq383,24.04,0.00,12.19,13.68,0.00,5.83,0.00,12.96,12.04,9.13,0.00,0.00,13.30,11.12,17.58,14.54,0.00,0.00,12.19,13.58
seq384,14.35,24.04,0.00,7.22,0.00,0.00,17.58,4.96,13.68,12.50,12.50,16.32,24.04,12.04,0.00,22.19,13.04,6.21,0.00,12.96
seq385,10.88,11.84,0.00,0.00,21.20,12.04,0.00,13.58,10.88,12.04,12.96,0.00,12.50,15.27,7.77,12.96,14.35,16.35,14.00,0.00
seq386,2.63,0.00,0.00,0.00,25.04,0.00,0.00,16.15,4.67,11.81,0.00,0.00,0.00,0.00,3.68,0.00,0.00,13.19,0.00,0.00
seq387,5.74,0.00,0.00,0.00,18.52,0.00,0.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.85,0.00,0.00
seq388,17.26,0.00,0.00,0.00,3.77,0.00,0.00,11.58,4.86,6.80,0.00,0.00,0.00,0.00,3.25,0.00,0.00,12.81,0.00,0.00
seq389,19.93,0.00,14.88,6.38,25.04,0.00,25.04,7.92,13.70,0.00,8.40,7.76,0.00,0.00,0.00,4.43,0.00,14.37,0.00,10.35
seq390,0.00,0.00,0.00,0.00,15.18,14.46,13.48,0.00,14.74,11.78,22.46,10.96,10.81,18.81,10.32,0.00,0.00,20.89,13.36,13.18
seq391,9.11,0.00,0.00,13.46,0.00,13.04,15.18,0.00,0.00,0.00,24.18,16.04,11.48,14.30,19.05,10.35,10.12,13.46,0.00,0.00
seq392,11.19,17.04,22.46,8.88,15.18,19.46,26.04,6.29,9.56,20.89,0.00,20.89,0.00,9.11,8.19,24.18,17.04,0.00,0.00,19.46
seq393,0.00,26.04,7.56,0.00,23.45,13.52,0.00,12.22,0.00,6.88,0.00,16.90,14.62,6.96,6.74,7.63,21.86,19.10,25.17,0.00
seq394,21.86,6.64,10.18,0.00,16.04,12.27,11.32,13.59,14.37,11.46,0.00,14.14,12.75,0.00,14.62,20.41,0.00,0.00,0.00,15.18
seq395,10.80,0.00,23.45,0.00,7.19,4.46,14.62,10.18,13.59,9.18,0.00,0.00,0.00,15.24,0.00,11.32,14.14,8.75,25.17,21.86
seq396,19.78,0.00,23.45,0.00,12.39,5.20,14.62,16.00,13.59,11.11,13.79,14.14,0.00,15.24,0.00,6.89,23.45,7.78,25.17,21.86
seq397,19.46,0.00,23.45,0.00,7.19,4.46,14.62,17.93,13.59,13.46,0.00,0.00,0.00,15.24,0.00,11.32,9.54,5.60,25.17,21.86
seq398,13.18,0.00,23.45,0.00,7.19,5.20,14.62,25.17,13.59,11.25,27.03,0.00,0.00,15.24,0.00,6.89,11.46,6.35,25.17,21.86
seq399,0.00,28.03,0.00,11.10,24.43,23.38,16.03,12.07,0.00,8.37,0.00,9.04,7.56,14.03,9.68,16.83,12.97,9.66,24.43,0.00
seq400,0.00,27.03,0.00,11.10,24.43,23.38,16.03,12.07,0.00,5.65,0.00,9.04,14.14,14.03,11.38,13.52,12.97,9.66,24.43,0.00
seq401,3.60,0.00,0.00,0.00,23.28,3.21,0.00,0.00,3.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
seq402,11.68,0.00,20.66,22.32,7.37,16.28,0.00,16.97,26.41,16.71,19.53,15.03,0.00,15.41,12.45,6.28,22.70,13.52,0.00,16.91
seq403,5.27,0.00,24.78,12.30,13.74,12.62,19.53,0.00,24.78,12.57,15.55,0.00,0.00,0.00,14.83,30.03,10.63,16.91,0.00,0.00
seq404,10.77,31.03,16.32,28.16,0.00,0.00,17.70,25.76,9.61,5.10,11.91,0.00,0.00,21.58,4.30,19.39,18.48,29.15,0.00,31.03
seq405,9.70,0.00,17.59,0.00,8.13,4.96,20.42,12.71,17.70,8.19,31.03,0.00,0.00,21.58,0.00,10.91,11.03,11.91,19.39,31.03
seq406,25.76,20.16,15.58,12.43,15.91,24.24,10.90,17.03,9.68,11.43,16.48,0.00,18.91,0.00,13.10,12.53,17.70,0.00,0.00,31.03
seq407,31.03,25.76,18.48,29.15,13.66,10.19,0.00,15.76,0.00,14.50,0.00,18.91,11.28,17.03,19.39,25.76,14.58,20.97,22.85,5.72
seq408,9.17,0.00,12.78,16.03,19.39,0.00,0.00,10.16,14.53,16.42,0.00,7.70,0.00,17.27,26.74,6.77,28.38,0.00,16.15,0.00
seq409,11.09,0.00,28.38,0.00,0.00,0.00,22.50,7.17,10.41,8.70,0.00,12.59,0.00,21.32,17.15,7.17,11.09,26.74,0.00,25.21
seq410,3.39,0.00,0.00,0.00,35.03,0.00,0.00,0.00,3.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44,0.00,0.00
seq411,5.97,0.00,0.00,0.00,35.03,9.26,0.00,17.57,5.23,6.91,0.00,0.00,0.00,0.00,5.17,0.00,0.00,9.62,0.00,0.00
seq412,0.00,15.39,0.00,0.00,0.00,4.41,31.03,11.91,0.00,0.00,0.00,0.00,16.92,0.00,9.26,0.00,0.00,15.49,0.00,0.00
seq413,20.36,0.00,10.19,9.36,28.56,0.00,0.00,15.08,13.19,7.41,18.51,7.97,0.00,19.33,18.72,23.18,16.34,22.67,0.00,14.18
seq414,8.97,0.00,17.90,19.62,21.23,0.00,30.49,19.56,14.31,4.73,0.00,0.00,35.32,17.82,6.17,22.32,0.00,38.02,30.49,0.00
seq415,12.51,0.00,13.07,10.51,24.79,41.11,32.89,12.19,15.95,13.79,0.00,14.05,30.02,16.39,25.11,7.62,0.00,13.86,0.00,39.29
seq416,9.07,0.00,24.46,23.85,32.46,22.54,0.00,23.25,13.86,11.36,0.00,15.40,0.00,7.50,0.00,16.02,15.88,24.20,0.00,0.00
seq417,36.89,0.00,24.36,20.66,32.46,22.54,0.00,24.13,14.25,11.36,0.00,6.72,0.00,7.92,0.00,9.58,15.88,14.53,0.00,0.00
seq418,12.00,0.00,17.75,28.67,23.33,22.89,0.00,13.72,15.69,7.17,0.00,12.98,0.00,17.81,22.89,12.21,30.22,9.35,0.00,0.00
seq419,23.11,10.67,33.96,26.82,24.16,24.77,0.00,29.83,12.47,0.00,23.67,23.55,12.72,12.02,12.26,13.46,25.51,12.02,18.94,0.00
seq420,28.45,15.98,28.45,25.51,20.24,43.27,26.82,17.66,19.74,0.00,0.00,7.49,7.72,42.23,28.77,15.40,26.12,21.02,27.59,0.00
seq421,23.80,0.00,31.31,38.00,0.00,20.11,43.52,21.13,9.41,6.34,0.00,10.13,46.73,42.02,0.00,11.46,18.11,8.90,0.00,36.73
seq422,20.17,0.00,10.84,18.83,44.42,24.19,40.42,13.70,14.62,11.39,0.00,10.22,37.19,24.75,30.88,13.51,39.22,14.42,0.00,43.22
seq423,9.13,0.00,28.05,19.89,35.38,0.00,43.97,31.61,15.12,6.00,59.02,0.00,50.00,16.27,7.96,31.82,0.00,22.47,45.38,29.54
