ID,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
seq0,1.00,0.00,1.00,1.50,1.00,0.00,0.00,1.00,1.00,1.33,1.00,1.00,0.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1,1.00,0.00,1.00,1.50,1.00,1.00,0.00,1.00,1.00,1.33,1.00,1.00,0.00,1.40,0.00,1.00,1.00,1.00,1.00,1.00, 
seq2,1.00,0.00,1.00,1.40,1.00,0.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,1.33,1.00,0.00,1.00,1.00,1.00,1.00, 
seq3,0.00,1.29,0.00,1.00,0.00,1.00,1.00,1.00,1.25,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00, 
seq4,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.40,1.00,1.50,1.40,0.00,0.00, 
seq5,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,1.00,0.00,1.00,1.40,0.00,1.00, 
seq6,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.67,1.33,0.00,1.00,1.00,0.00,1.67,1.00,1.00,1.00,0.00,1.00, 
seq7,0.00,0.00,0.00,1.62,1.00,0.00,0.00,0.00,1.67,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,2.00,1.00,0.00, 
seq8,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.57,1.00,1.00,1.00,2.00,1.00,0.00, 
seq9,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,1.40,1.00,1.00,1.50,0.00,1.40,0.00,0.00,1.00,1.00,1.00,1.00, 
seq10,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.33,1.40,1.00,1.00,1.50,0.00,1.33,0.00,0.00,1.00,1.00,1.00,1.00, 
seq11,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00,1.33,0.00,1.40,0.00,0.00,1.00,1.00,1.00,1.00, 
seq12,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,1.33,1.00,1.00,1.67,0.00,1.44,0.00,0.00,1.00,1.00,1.00,1.00, 
seq13,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00, 
seq14,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,2.67,1.00,0.00,0.00,1.00, 
seq15,1.00,0.00,0.00,1.00,1.00,1.50,0.00,1.00,1.67,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq16,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq17,1.00,0.00,0.00,1.00,1.00,1.50,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq18,1.00,0.00,0.00,1.00,1.00,1.50,0.00,1.00,1.67,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq19,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00, 
seq20,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq21,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq22,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq23,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq24,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq25,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq26,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq27,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq28,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq29,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,0.00,0.00,1.00,1.40,0.00,1.00,0.00,1.00,0.00, 
seq30,1.00,0.00,0.00,1.00,1.00,1.50,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq31,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq32,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00, 
seq33,0.00,0.00,0.00,0.00,0.00,1.29,0.00,1.00,1.00,1.33,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00, 
seq34,0.00,1.00,0.00,0.00,0.00,1.33,0.00,1.00,0.00,1.77,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq35,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.40,1.00,0.00,1.00,1.00,1.00,0.00, 
seq36,1.67,0.00,1.00,1.50,0.00,0.00,0.00,1.00,1.00,1.67,1.00,0.00,1.00,0.00,1.50,0.00,0.00,1.00,0.00,1.00, 
seq37,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.50,1.00,0.00,0.00,1.00,1.00, 
seq38,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00, 
seq39,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.67,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq40,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.33,0.00,1.00,0.00,1.00,0.00, 
seq41,1.40,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.50,1.00,1.00,1.00,0.00,1.00, 
seq42,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.67,0.00,0.00,0.00,1.00,0.00,1.00,0.00, 
seq43,1.00,1.67,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.67,1.00,0.00,1.00,0.00,1.00, 
seq44,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,2.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00, 
seq45,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.40,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00, 
seq46,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.40,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00, 
seq47,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq48,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq49,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq50,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq51,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq52,0.00,1.00,1.50,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq53,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq54,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq55,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq56,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.67,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.50,1.00,0.00, 
seq57,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00, 
seq58,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq59,0.00,1.00,1.40,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00, 
seq60,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq61,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq62,1.00,0.00,1.00,1.40,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00, 
seq63,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.67,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq64,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq65,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq66,0.00,1.00,0.00,0.00,1.00,1.00,1.67,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq67,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00, 
seq68,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00, 
seq69,1.00,0.00,1.00,1.25,0.00,0.00,1.00,1.00,1.00,1.33,0.00,1.40,0.00,1.40,1.00,1.00,1.00,0.00,1.00,1.00, 
seq70,1.00,0.00,0.00,1.67,1.00,0.00,0.00,0.00,1.67,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00, 
seq71,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq72,1.67,1.00,1.40,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq73,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq74,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.33,0.00,1.00,1.00,0.00,0.00, 
seq75,1.40,0.00,0.00,1.00,0.00,1.33,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00, 
seq76,1.00,0.00,0.00,1.00,0.00,1.33,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq77,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq78,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq79,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.40,1.00,1.00, 
seq80,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00, 
seq81,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.67,1.00,0.00,1.00, 
seq82,0.00,1.00,0.00,1.00,0.00,1.33,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq83,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00, 
seq84,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.60,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00, 
seq85,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.50,1.00,1.00,0.00,1.00, 
seq86,1.00,1.00,0.00,1.40,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00, 
seq87,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00, 
seq88,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq89,1.67,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00, 
seq90,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.40,1.00,1.00,0.00,1.00, 
seq91,0.00,0.00,1.00,1.29,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.50,0.00,1.50,1.00,1.00,1.00,0.00,1.00,1.00, 
seq92,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00, 
seq93,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00, 
seq94,0.00,1.00,0.00,0.00,1.67,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00, 
seq95,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00, 
seq96,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq97,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq98,1.00,1.00,0.00,1.00,1.40,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq99,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq100,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq101,1.00,0.00,0.00,1.00,1.40,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq102,1.00,1.00,0.00,1.00,1.40,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.40,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq103,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq104,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq105,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq106,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq107,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq108,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq109,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq110,1.00,0.00,1.00,1.29,1.00,0.00,1.00,1.00,1.00,1.29,0.00,1.00,0.00,1.40,0.00,1.00,1.00,0.00,1.00,0.00, 
seq111,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.50,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq112,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.67,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00, 
seq113,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.67,0.00,0.00,0.00, 
seq114,1.40,0.00,1.50,1.00,1.00,1.00,1.00,0.00,1.29,0.00,0.00,1.36,1.00,1.67,2.00,0.00,0.00,1.50,0.00,1.40, 
seq115,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.67,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq116,1.00,0.00,1.00,1.29,0.00,0.00,1.00,1.00,1.00,1.29,0.00,1.33,0.00,1.40,0.00,1.00,1.00,0.00,1.00,1.00, 
seq117,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00, 
seq118,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.67,1.00,0.00,1.00,1.50,1.00,2.00,1.00,1.00,1.00,0.00,0.00, 
seq119,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.67,0.00,1.00,1.67,0.00,1.00,0.00,1.00,1.00,1.00,0.00, 
seq120,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.29,1.00,1.00,0.00,1.33,1.00,0.00,1.00,1.40,1.00,1.00, 
seq121,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00,1.00,1.00,1.50,0.00,0.00,1.00,0.00,1.00, 
seq122,0.00,1.00,0.00,0.00,1.00,1.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,1.00,0.00,1.00, 
seq123,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.67,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00, 
seq124,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.67,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00, 
seq125,1.00,1.24,1.00,1.00,1.00,1.00,0.00,1.00,1.33,1.00,1.00,1.00,1.27,1.00,1.33,1.00,1.00,1.00,1.00,1.00, 
seq126,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq127,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.67,1.00,1.00,0.00,1.00, 
seq128,0.00,1.00,0.00,1.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00, 
seq129,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00, 
seq130,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.67,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00, 
seq131,1.67,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00, 
seq132,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.67,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.50,0.00, 
seq133,1.38,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00, 
seq134,1.60,0.00,1.00,1.55,1.00,0.00,0.00,1.00,1.67,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00, 
seq135,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00, 
seq136,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,2.14,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00, 
seq137,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00, 
seq138,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.67,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00, 
seq139,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00, 
seq140,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00, 
