ID,PCP_SS_HE,PCP_SS_ST,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
seq0,0.657,0.2,0.343,0.514,0.114
seq1,0.571,0.229,0.4,0.486,0.114
seq2,0.686,0.229,0.343,0.543,0.086
seq3,0.389,0.389,0.417,0.389,0.25
seq4,0.367,0.433,0.3,0.267,0.4
seq5,0.4,0.333,0.433,0.4,0.167
seq6,0.433,0.267,0.4,0.233,0.367
seq7,0.73,0.216,0.27,0.568,0.081
seq8,0.514,0.243,0.378,0.378,0.135
seq9,0.514,0.286,0.314,0.571,0.114
seq10,0.429,0.343,0.371,0.486,0.143
seq11,0.389,0.361,0.361,0.444,0.194
seq12,0.514,0.286,0.343,0.571,0.086
seq13,0.45,0.35,0.6,0.1,0.3
seq14,0.182,0.273,0.273,0.227,0.5
seq15,0.5,0.3,0.6,0.25,0.1
seq16,0.5,0.25,0.6,0.3,0.1
seq17,0.45,0.3,0.55,0.3,0.15
seq18,0.5,0.3,0.6,0.25,0.15
seq19,0.45,0.3,0.6,0.3,0.15
seq20,0.5,0.25,0.55,0.3,0.15
seq21,0.5,0.25,0.6,0.3,0.1
seq22,0.45,0.3,0.55,0.3,0.15
seq23,0.45,0.3,0.6,0.25,0.15
seq24,0.45,0.3,0.55,0.3,0.15
seq25,0.5,0.25,0.55,0.3,0.15
seq26,0.45,0.3,0.55,0.3,0.15
seq27,0.45,0.3,0.6,0.25,0.15
seq28,0.45,0.3,0.55,0.3,0.15
seq29,0.55,0.4,0.5,0.2,0.1
seq30,0.45,0.3,0.6,0.25,0.15
seq31,0.5,0.318,0.727,0.0,0.273
seq32,0.65,0.3,0.5,0.3,0.2
seq33,0.35,0.25,0.75,0.2,0.1
seq34,0.45,0.25,0.95,0.05,0.05
seq35,0.45,0.35,0.45,0.45,0.05
seq36,0.591,0.227,0.318,0.409,0.273
seq37,0.5,0.2,0.45,0.3,0.15
seq38,0.3,0.25,0.35,0.3,0.35
seq39,0.55,0.3,0.55,0.25,0.15
seq40,0.4,0.4,0.35,0.25,0.2
seq41,0.636,0.273,0.5,0.136,0.273
seq42,0.583,0.167,0.25,0.333,0.583
seq43,0.591,0.227,0.455,0.273,0.318
seq44,0.533,0.4,0.733,0.133,0.133
seq45,0.389,0.333,0.556,0.278,0.111
seq46,0.389,0.333,0.556,0.278,0.111
seq47,0.389,0.333,0.556,0.278,0.111
seq48,0.25,0.4,0.55,0.25,0.15
seq49,0.25,0.5,0.55,0.25,0.15
seq50,0.278,0.444,0.556,0.278,0.111
seq51,0.278,0.444,0.556,0.278,0.111
seq52,0.278,0.444,0.556,0.278,0.111
seq53,0.278,0.444,0.556,0.278,0.111
seq54,0.222,0.556,0.556,0.222,0.167
seq55,0.222,0.556,0.556,0.222,0.167
seq56,0.167,0.556,0.611,0.222,0.111
seq57,0.333,0.444,0.611,0.222,0.167
seq58,0.222,0.5,0.556,0.222,0.167
seq59,0.222,0.444,0.556,0.333,0.111
seq60,0.389,0.444,0.556,0.167,0.111
seq61,0.389,0.444,0.556,0.167,0.111
seq62,0.472,0.167,0.333,0.472,0.167
seq63,0.267,0.467,0.333,0.333,0.4
seq64,0.226,0.484,0.548,0.194,0.258
seq65,0.167,0.5,0.567,0.2,0.267
seq66,0.333,0.389,0.556,0.111,0.333
seq67,0.143,0.524,0.81,0.095,0.095
seq68,0.15,0.45,0.7,0.3,0.15
seq69,0.583,0.167,0.278,0.528,0.167
seq70,0.833,0.111,0.5,0.472,0.028
seq71,0.7,0.1,0.25,0.5,0.25
seq72,0.243,0.405,0.486,0.243,0.243
seq73,0.222,0.667,0.667,0.0,0.111
seq74,0.333,0.556,0.667,0.0,0.056
seq75,0.556,0.185,0.593,0.185,0.222
seq76,0.481,0.259,0.593,0.222,0.185
seq77,0.55,0.3,0.45,0.4,0.0
seq78,0.5,0.35,0.5,0.35,0.0
seq79,0.333,0.444,0.667,0.167,0.167
seq80,0.167,0.533,0.6,0.2,0.267
seq81,0.2,0.5,0.567,0.233,0.233
seq82,0.103,0.483,0.552,0.207,0.31
seq83,0.15,0.5,0.7,0.25,0.2
seq84,0.611,0.278,0.389,0.389,0.056
seq85,0.179,0.536,0.536,0.179,0.321
seq86,0.529,0.353,0.471,0.353,0.235
seq87,0.471,0.412,0.529,0.294,0.235
seq88,0.222,0.556,0.778,0.0,0.0
seq89,0.194,0.484,0.613,0.226,0.194
seq90,0.067,0.533,0.633,0.167,0.267
seq91,0.444,0.278,0.25,0.472,0.25
seq92,0.625,0.188,0.312,0.375,0.25
seq93,0.233,0.5,0.5,0.333,0.233
seq94,0.286,0.429,0.429,0.214,0.357
seq95,0.2,0.45,0.7,0.3,0.15
seq96,0.25,0.45,0.6,0.35,0.2
seq97,0.35,0.4,0.65,0.3,0.25
seq98,0.2,0.5,0.65,0.3,0.25
seq99,0.25,0.45,0.6,0.35,0.25
seq100,0.3,0.4,0.6,0.35,0.25
seq101,0.25,0.45,0.6,0.35,0.25
seq102,0.3,0.45,0.55,0.4,0.25
seq103,0.35,0.4,0.6,0.35,0.25
seq104,0.4,0.35,0.55,0.4,0.25
seq105,0.3,0.4,0.55,0.35,0.3
seq106,0.35,0.35,0.5,0.4,0.25
seq107,0.35,0.35,0.5,0.4,0.3
seq108,0.45,0.3,0.55,0.35,0.3
seq109,0.35,0.35,0.45,0.45,0.3
seq110,0.556,0.222,0.389,0.472,0.139
seq111,0.568,0.216,0.405,0.378,0.108
seq112,0.556,0.222,0.611,0.167,0.222
seq113,0.417,0.25,0.333,0.25,0.583
seq114,0.382,0.236,0.273,0.545,0.109
seq115,0.2,0.467,0.567,0.233,0.233
seq116,0.556,0.167,0.306,0.5,0.194
seq117,0.15,0.4,0.65,0.35,0.2
seq118,0.519,0.259,0.296,0.37,0.222
seq119,0.25,0.35,0.45,0.35,0.2
seq120,0.622,0.27,0.405,0.378,0.135
seq121,0.485,0.273,0.455,0.303,0.242
seq122,0.389,0.444,0.611,0.0,0.056
seq123,0.2,0.4,0.6,0.3,0.2
seq124,0.3,0.4,0.5,0.25,0.15
seq125,0.364,0.29,0.393,0.411,0.271
seq126,0.25,0.083,0.333,0.333,0.417
seq127,0.111,0.389,0.333,0.222,0.5
seq128,0.273,0.455,0.364,0.182,0.364
seq129,0.385,0.308,0.308,0.231,0.462
seq130,0.25,0.45,0.65,0.3,0.2
seq131,0.222,0.444,0.63,0.185,0.222
seq132,0.15,0.45,0.6,0.3,0.15
seq133,0.73,0.189,0.649,0.27,0.054
seq134,0.73,0.189,0.486,0.432,0.054
seq135,0.2,0.55,0.7,0.2,0.2
seq136,0.471,0.235,0.294,0.176,0.529
seq137,0.5,0.417,0.417,0.25,0.25
seq138,0.5,0.417,0.5,0.25,0.167
seq139,0.583,0.333,0.417,0.25,0.25
seq140,0.583,0.333,0.5,0.25,0.167
seq141,0.5,0.417,0.5,0.167,0.25
seq142,0.583,0.417,0.5,0.167,0.25
seq143,0.583,0.333,0.417,0.25,0.25
seq144,0.556,0.222,0.361,0.444,0.194
seq145,0.556,0.222,0.361,0.472,0.167
seq146,0.647,0.176,0.559,0.206,0.235
seq147,0.524,0.333,0.762,0.143,0.143
seq148,0.48,0.28,0.64,0.16,0.28
seq149,0.812,0.062,0.375,0.188,0.062
seq150,0.545,0.364,0.182,0.364,0.273
seq151,0.462,0.462,0.692,0.231,0.0
seq152,0.364,0.5,0.591,0.045,0.273
seq153,0.579,0.263,0.684,0.263,0.053
seq154,0.385,0.385,0.615,0.308,0.077
seq155,0.611,0.222,0.5,0.278,0.278
seq156,0.353,0.353,0.529,0.471,0.0
seq157,0.5,0.308,0.577,0.231,0.154
seq158,0.385,0.385,0.615,0.308,0.077
seq159,0.381,0.333,0.571,0.286,0.143
seq160,0.385,0.385,0.615,0.308,0.077
seq161,0.333,0.333,0.762,0.048,0.238
seq162,0.842,0.0,0.632,0.0,0.0
seq163,0.542,0.292,0.5,0.292,0.167
seq164,0.542,0.292,0.5,0.167,0.167
seq165,0.385,0.385,0.615,0.308,0.077
seq166,0.385,0.462,0.615,0.231,0.077
seq167,0.45,0.3,0.7,0.05,0.15
seq168,0.625,0.208,0.667,0.292,0.042
seq169,0.763,0.184,0.474,0.342,0.079
seq170,0.711,0.184,0.526,0.316,0.132
seq171,0.579,0.211,0.263,0.474,0.237
seq172,0.529,0.353,0.529,0.059,0.176
seq173,0.737,0.237,0.526,0.289,0.079
seq174,0.605,0.237,0.211,0.5,0.184
seq175,0.304,0.478,0.652,0.087,0.217
seq176,0.667,0.256,0.41,0.513,0.077
seq177,0.417,0.278,0.389,0.194,0.389
seq178,0.545,0.212,0.636,0.091,0.212
seq179,0.343,0.371,0.457,0.343,0.171
seq180,0.514,0.229,0.429,0.371,0.143
seq181,0.571,0.229,0.429,0.371,0.143
seq182,0.486,0.171,0.314,0.457,0.171
seq183,0.4,0.314,0.429,0.371,0.171
seq184,0.457,0.171,0.343,0.457,0.171
seq185,0.429,0.286,0.429,0.343,0.171
seq186,0.629,0.229,0.457,0.371,0.114
seq187,0.52,0.36,0.48,0.2,0.16
seq188,0.511,0.289,0.622,0.133,0.244
seq189,0.458,0.417,0.708,0.25,0.125
seq190,0.2,0.533,0.533,0.0,0.333
seq191,0.435,0.261,0.609,0.217,0.174
seq192,0.526,0.316,0.579,0.053,0.263
seq193,0.533,0.4,0.333,0.333,0.333
seq194,0.722,0.278,0.278,0.222,0.056
seq195,0.778,0.222,0.222,0.333,0.0
seq196,0.4,0.467,0.333,0.2,0.4
seq197,1.0,0.0,0.222,0.333,0.0
seq198,0.778,0.111,0.222,0.222,0.111
seq199,0.778,0.222,0.333,0.222,0.0
seq200,0.61,0.22,0.537,0.146,0.195
seq201,0.29,0.613,0.452,0.097,0.258
seq202,0.778,0.222,0.222,0.222,0.0
seq203,0.75,0.188,0.125,0.25,0.125
seq204,0.75,0.125,0.25,0.25,0.0
seq205,0.75,0.25,0.25,0.25,0.0
seq206,0.667,0.333,0.333,0.167,0.0
seq207,0.778,0.167,0.556,0.222,0.139
seq208,0.267,0.533,0.4,0.333,0.333
seq209,0.304,0.478,0.652,0.304,0.043
seq210,0.545,0.333,0.606,0.091,0.091
seq211,0.559,0.265,0.441,0.265,0.235
seq212,0.308,0.462,0.538,0.308,0.231
seq213,0.667,0.143,0.714,0.19,0.095
seq214,0.5,0.292,0.667,0.25,0.083
seq215,0.75,0.0,0.5,0.25,0.25
seq216,1.0,0.0,0.429,0.571,0.0
seq217,0.579,0.263,0.316,0.263,0.316
seq218,0.529,0.294,0.353,0.176,0.353
seq219,0.31,0.207,0.31,0.483,0.517
seq220,0.8,0.1,0.7,0.2,0.1
seq221,0.846,0.077,0.615,0.231,0.077
seq222,0.8,0.067,0.6,0.267,0.133
seq223,0.786,0.071,0.571,0.286,0.143
seq224,0.833,0.083,0.583,0.25,0.083
seq225,0.875,0.125,0.75,0.125,0.0
seq226,0.588,0.176,0.441,0.529,0.059
seq227,0.917,0.083,0.75,0.167,0.0
seq228,1.0,0.0,0.692,0.154,0.0
seq229,0.385,0.154,0.538,0.077,0.385
seq230,0.543,0.257,0.571,0.343,0.057
seq231,0.486,0.114,0.457,0.4,0.171
seq232,0.6,0.114,0.429,0.371,0.143
seq233,0.543,0.143,0.514,0.343,0.143
seq234,0.588,0.294,0.588,0.176,0.118
seq235,0.417,0.458,0.375,0.333,0.292
seq236,0.136,0.636,0.773,0.091,0.091
seq237,0.429,0.381,0.714,0.095,0.19
seq238,0.48,0.4,0.64,0.08,0.12
seq239,0.4,0.48,0.56,0.12,0.2
seq240,0.5,0.286,0.464,0.179,0.393
seq241,0.429,0.229,0.371,0.371,0.229
seq242,0.588,0.176,0.588,0.176,0.059
seq243,0.176,0.471,0.529,0.059,0.412
seq244,0.25,0.45,0.35,0.35,0.35
seq245,0.5,0.25,0.5,0.25,0.2
seq246,0.3,0.4,0.35,0.35,0.35
seq247,0.105,0.579,0.579,0.158,0.211
seq248,0.158,0.474,0.368,0.263,0.368
seq249,0.409,0.364,0.545,0.136,0.409
seq250,0.395,0.342,0.368,0.395,0.237
seq251,0.3,0.5,0.45,0.25,0.4
seq252,0.733,0.2,0.467,0.4,0.133
seq253,0.667,0.133,0.533,0.333,0.067
seq254,0.6,0.3,0.6,0.35,0.05
seq255,0.85,0.1,0.7,0.2,0.05
seq256,0.85,0.1,0.7,0.2,0.05
seq257,0.789,0.105,0.684,0.211,0.105
seq258,0.812,0.062,0.625,0.25,0.125
seq259,0.42,0.28,0.46,0.27,0.27
seq260,0.433,0.4,0.5,0.1,0.233
seq261,0.462,0.385,0.692,0.154,0.154
seq262,0.32,0.44,0.4,0.2,0.4
seq263,0.438,0.375,0.562,0.188,0.188
seq264,0.412,0.412,0.5,0.059,0.235
seq265,0.367,0.5,0.633,0.1,0.167
seq266,0.714,0.179,0.714,0.25,0.036
seq267,0.441,0.382,0.5,0.059,0.235
seq268,0.417,0.167,0.25,0.667,0.417
seq269,0.457,0.286,0.371,0.486,0.143
seq270,0.45,0.3,0.6,0.25,0.15
seq271,0.333,0.556,0.611,0.167,0.167
seq272,0.357,0.262,0.262,0.452,0.357
seq273,0.525,0.175,0.5,0.275,0.2
seq274,0.634,0.22,0.537,0.317,0.073
seq275,0.061,0.545,0.576,0.152,0.303
seq276,0.389,0.5,0.667,0.0,0.0
seq277,0.73,0.189,0.486,0.432,0.054
seq278,0.5,0.417,0.5,0.167,0.25
seq279,0.583,0.333,0.417,0.25,0.25
seq280,0.5,0.417,0.5,0.25,0.25
seq281,0.44,0.32,0.68,0.2,0.2
seq282,0.467,0.267,0.467,0.333,0.133
seq283,0.357,0.429,0.643,0.143,0.286
seq284,0.385,0.385,0.615,0.308,0.077
seq285,0.385,0.385,0.615,0.308,0.077
seq286,0.72,0.2,0.48,0.28,0.12
seq287,0.486,0.171,0.257,0.429,0.257
seq288,0.542,0.25,0.708,0.25,0.0
seq289,0.32,0.48,0.76,0.04,0.08
seq290,0.56,0.32,0.64,0.12,0.16
seq291,0.364,0.364,0.455,0.182,0.455
seq292,0.833,0.167,0.5,0.167,0.0
seq293,0.417,0.167,0.333,0.25,0.417
seq294,0.75,0.0,0.417,0.083,0.333
seq295,0.583,0.167,0.167,0.5,0.167
seq296,0.75,0.25,0.333,0.0,0.417
seq297,0.833,0.167,0.25,0.083,0.417
seq298,0.75,0.25,0.25,0.083,0.417
seq299,0.75,0.25,0.333,0.083,0.333
seq300,0.75,0.25,0.333,0.083,0.333
seq301,0.75,0.25,0.333,0.083,0.417
seq302,0.833,0.167,0.333,0.083,0.333
seq303,0.75,0.25,0.333,0.083,0.333
seq304,0.833,0.167,0.25,0.083,0.417
seq305,0.333,0.667,0.833,0.0,0.083
seq306,0.25,0.417,0.25,0.333,0.667
seq307,0.25,0.417,0.583,0.167,0.333
seq308,0.167,0.333,0.333,0.333,0.583
seq309,0.333,0.5,0.333,0.167,0.417
seq310,0.154,0.462,0.692,0.231,0.154
seq311,0.308,0.385,0.615,0.308,0.154
seq312,0.231,0.385,0.692,0.308,0.077
seq313,0.308,0.462,0.692,0.154,0.154
seq314,0.429,0.357,0.571,0.071,0.286
seq315,0.357,0.143,0.357,0.286,0.143
seq316,0.357,0.143,0.357,0.357,0.071
seq317,0.333,0.333,0.467,0.2,0.267
seq318,0.333,0.467,0.6,0.2,0.133
seq319,0.333,0.267,0.333,0.2,0.467
seq320,0.467,0.333,0.6,0.133,0.133
seq321,0.4,0.333,0.6,0.133,0.2
seq322,0.4,0.333,0.4,0.067,0.467
seq323,0.4,0.333,0.6,0.133,0.2
seq324,0.533,0.2,0.467,0.333,0.133
seq325,0.533,0.267,0.333,0.4,0.333
seq326,0.571,0.0,0.643,0.143,0.143
seq327,0.267,0.133,0.4,0.267,0.467
seq328,0.5,0.188,0.562,0.438,0.125
seq329,0.312,0.375,0.625,0.125,0.125
seq330,0.4,0.333,0.333,0.133,0.2
seq331,0.375,0.625,0.625,0.125,0.062
seq332,0.375,0.625,0.625,0.125,0.062
seq333,0.294,0.353,0.647,0.059,0.118
seq334,0.765,0.235,0.529,0.294,0.0
seq335,0.471,0.235,0.294,0.176,0.235
seq336,0.471,0.235,0.294,0.059,0.235
seq337,0.353,0.294,0.765,0.118,0.176
seq338,0.5,0.389,0.556,0.278,0.167
seq339,0.278,0.444,0.556,0.278,0.111
seq340,0.611,0.278,0.5,0.444,0.056
seq341,0.333,0.444,0.833,0.056,0.167
seq342,0.389,0.389,0.722,0.111,0.167
seq343,0.278,0.444,0.611,0.111,0.278
seq344,0.333,0.389,0.556,0.111,0.333
seq345,0.278,0.389,0.444,0.222,0.333
seq346,0.333,0.389,0.5,0.222,0.278
seq347,0.556,0.222,0.833,0.111,0.056
seq348,0.5,0.278,0.722,0.056,0.222
seq349,0.556,0.111,0.667,0.111,0.222
seq350,0.556,0.222,0.667,0.056,0.278
seq351,0.412,0.118,0.353,0.588,0.118
seq352,0.667,0.111,0.333,0.389,0.222
seq353,0.333,0.389,0.5,0.333,0.222
seq354,0.278,0.333,0.278,0.333,0.5
seq355,0.474,0.211,0.368,0.211,0.316
seq356,0.211,0.368,0.421,0.316,0.316
seq357,0.211,0.368,0.421,0.316,0.316
seq358,0.5,0.45,0.45,0.25,0.2
seq359,0.55,0.15,0.35,0.5,0.15
seq360,0.55,0.15,0.35,0.5,0.15
seq361,0.762,0.238,0.429,0.571,0.0
seq362,0.381,0.238,0.238,0.381,0.524
seq363,0.524,0.286,0.524,0.286,0.143
seq364,0.429,0.333,0.476,0.429,0.095
seq365,0.952,0.048,0.571,0.429,0.0
seq366,1.0,0.0,0.429,0.571,0.0
seq367,0.952,0.048,0.429,0.0,0.0
seq368,1.0,0.0,0.238,0.19,0.0
seq369,0.591,0.227,0.455,0.318,0.136
seq370,0.652,0.348,0.609,0.391,0.0
seq371,0.565,0.435,0.609,0.217,0.0
seq372,0.957,0.043,0.609,0.391,0.0
seq373,0.652,0.348,0.609,0.391,0.0
seq374,0.609,0.217,0.478,0.261,0.174
seq375,0.565,0.304,0.522,0.13,0.174
seq376,0.458,0.292,0.833,0.083,0.083
seq377,0.458,0.167,0.333,0.458,0.167
seq378,0.458,0.333,0.458,0.25,0.25
seq379,0.64,0.36,0.52,0.24,0.0
seq380,0.24,0.36,0.28,0.24,0.56
seq381,0.48,0.2,0.28,0.44,0.28
seq382,0.692,0.192,0.577,0.231,0.0
seq383,0.423,0.115,0.423,0.385,0.308
seq384,0.423,0.423,0.385,0.385,0.269
seq385,0.538,0.346,0.5,0.192,0.154
seq386,0.889,0.111,0.519,0.259,0.0
seq387,0.667,0.333,0.519,0.481,0.0
seq388,0.667,0.333,0.481,0.222,0.0
seq389,0.37,0.259,0.222,0.37,0.407
seq390,0.5,0.25,0.321,0.393,0.25
seq391,0.536,0.214,0.143,0.214,0.429
seq392,0.536,0.321,0.429,0.321,0.143
seq393,0.379,0.31,0.448,0.31,0.172
seq394,0.31,0.345,0.517,0.276,0.241
seq395,0.345,0.345,0.724,0.103,0.172
seq396,0.345,0.31,0.621,0.138,0.241
seq397,0.241,0.448,0.69,0.103,0.207
seq398,0.276,0.414,0.621,0.103,0.276
seq399,0.367,0.3,0.433,0.333,0.267
seq400,0.367,0.333,0.5,0.267,0.233
seq401,0.688,0.031,0.562,0.438,0.0
seq402,0.344,0.438,0.469,0.188,0.281
seq403,0.625,0.188,0.531,0.156,0.219
seq404,0.727,0.152,0.333,0.273,0.182
seq405,0.333,0.364,0.667,0.121,0.212
seq406,0.606,0.212,0.333,0.303,0.303
seq407,0.242,0.485,0.485,0.212,0.333
seq408,0.412,0.206,0.382,0.412,0.176
seq409,0.441,0.294,0.441,0.235,0.265
seq410,0.676,0.324,0.595,0.405,0.0
seq411,0.757,0.162,0.568,0.216,0.0
seq412,0.289,0.395,0.658,0.053,0.211
seq413,0.513,0.231,0.359,0.436,0.179
seq414,0.707,0.146,0.488,0.268,0.098
seq415,0.378,0.222,0.378,0.422,0.222
seq416,0.522,0.261,0.391,0.435,0.174
seq417,0.457,0.217,0.261,0.543,0.196
seq418,0.457,0.239,0.457,0.348,0.152
seq419,0.449,0.306,0.388,0.327,0.204
seq420,0.306,0.306,0.327,0.531,0.245
seq421,0.411,0.268,0.482,0.321,0.214
seq422,0.433,0.217,0.367,0.483,0.167
seq423,0.754	,0.131	,0.41	,0.361	,0.098	
